iter	Logloss
0	0.4454060629
1	0.2902160174
2	0.1848771336
3	0.119737077
4	0.07746938813
5	0.05220660896
6	0.0359584891
7	0.02577438389
8	0.01912649793
9	0.01455145005
10	0.01139911392
11	0.009280001342
12	0.007777981708
13	0.006566896958
14	0.005737460172
15	0.005092103695
16	0.004632860337
17	0.004217183511
18	0.003933499149
19	0.003664546985
20	0.003454256872
21	0.003287822026
22	0.003160151013
23	0.003051239456
24	0.002957236455
25	0.002885161492
26	0.002821663537
27	0.002766635388
28	0.002696801375
29	0.002651234007
30	0.002596466442
31	0.002559751085
32	0.002518830839
33	0.002476185758
34	0.002452979264
35	0.002433774516
36	0.002409045631
37	0.002386795629
38	0.002367992283
39	0.002352742393
40	0.002322683536
41	0.002291961834
42	0.002270530437
43	0.002238009229
44	0.002199499885
45	0.002172225445
46	0.002141080534
47	0.002120438091
48	0.002099818222
49	0.002076464367
50	0.002065046557
51	0.002057674445
52	0.002045721666
53	0.002032466274
54	0.002023749561
55	0.002012171188
56	0.001998113936
57	0.001987766611
58	0.00197624558
59	0.00196584418
60	0.001961596551
61	0.001952450034
62	0.001948405914
63	0.001943996737
64	0.001937921238
65	0.001928995439
66	0.00191713227
67	0.00191126024
68	0.001895842995
69	0.001886291742
70	0.001878086257
71	0.001868412416
72	0.001854955306
73	0.001847174896
74	0.001845417477
75	0.001828824145
76	0.001816965971
77	0.001811340302
78	0.00180690676
79	0.001800279468
80	0.00179552958
81	0.001787084924
82	0.001778943009
83	0.001775119634
84	0.001770907626
85	0.00176256976
86	0.00175437536
87	0.001745919987
88	0.001740008927
89	0.001730092745
90	0.001715836282
91	0.001703440546
92	0.001696458132
93	0.001685677213
94	0.001680566467
95	0.001677077819
96	0.001671171189
97	0.001664212965
98	0.001659191031
99	0.001650293319
100	0.001641024092
101	0.001637620967
102	0.001633107225
103	0.001627631261
104	0.001618685446
105	0.001608555383
106	0.001602821247
107	0.001599392484
108	0.001591889072
109	0.001588175539
110	0.001583442267
111	0.001574646128
112	0.001571007037
113	0.001563468955
114	0.001558271255
115	0.001555378776
116	0.001552125997
117	0.001547206791
118	0.00153710691
119	0.001533759624
120	0.001529409031
121	0.001524893215
122	0.001516238993
123	0.001512541736
124	0.001508417062
125	0.001496246572
126	0.001494791199
127	0.001483875275
128	0.001476830254
129	0.001474320753
130	0.001470313782
131	0.001460212319
132	0.001455486822
133	0.001450416117
134	0.001442258678
135	0.001437285345
136	0.00143291718
137	0.00142977266
138	0.001425988269
139	0.001417261389
140	0.001411168921
141	0.001404161955
142	0.001402345238
143	0.001393077868
144	0.001387604814
145	0.001374279913
146	0.001367808679
147	0.001362993513
148	0.001357644158
149	0.00135428176
150	0.001345871573
151	0.001342632538
152	0.001339375282
153	0.001327303872
154	0.001324277301
155	0.001318993313
156	0.001314492923
157	0.001302163999
158	0.001299250278
159	0.001295010075
160	0.00129098788
161	0.001287143519
162	0.001283571973
163	0.001278422526
164	0.001274627131
165	0.001272154701
166	0.00126967313
167	0.001260864352
168	0.00125615337
169	0.001252684272
170	0.001250374178
171	0.001245605668
172	0.001240665225
173	0.001235233091
174	0.001233295705
